id,name,released,released_year,metacritic,rating,ratings_count,genres,tags
3498,Grand Theft Auto V,2013-09-17,2013,92,4.47,7268,Action,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Atmospheric|Great Soundtrack|RPG|Co-op|Open World|cooperative|First-Person|Third Person|Funny|Sandbox|Comedy|Third-Person Shooter|Moddable|Crime|vr mod
3328,The Witcher 3: Wild Hunt,2015-05-18,2015,92,4.64,7094,Action|RPG,Singleplayer|Full controller support|Atmospheric|Great Soundtrack|RPG|Story Rich|Open World|Third Person|Fantasy|Sandbox|Action RPG|Dark|Nudity|controller support|Choices Matter|Dark Fantasy|Mature|Medieval|Magic|Multiple Endings
4200,Portal 2,2011-04-18,2011,95,4.58,6028,Shooter|Puzzle,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Co-op|Story Rich|cooperative|First-Person|Sci-fi|FPS|Online Co-Op|Funny|Female Protagonist|Comedy|Local Co-Op|stats|Steam Workshop|Space|Includes level editor|Captions available|Commentary available|Science
4291,Counter-Strike: Global Offensive,2012-08-21,2012,81,3.57,3608,Shooter,Steam Achievements|Multiplayer|Full controller support|steam-trading-cards|Co-op|cooperative|First-Person|FPS|Online Co-Op|Tactical|stats|Steam Workshop|PvP|Moddable|War|In-App Purchases|Realistic|Team-Based|Fast-Paced|Military|Competitive|Valve Anti-Cheat enabled|e-sports|Trading
5286,Tomb Raider (2013),2013-03-05,2013,86,4.06,4056,Action,Singleplayer|Multiplayer|Full controller support|Atmospheric|RPG|Third Person|Exploration|Classic|Female Protagonist|Stealth|Action-Adventure|Third-Person Shooter|Retro|Cinematic|Quick-Time Events|Dinosaurs|Lara Croft
13536,Portal,2007-10-09,2007,90,4.49,4954,Action|Puzzle,Singleplayer|Steam Achievements|Atmospheric|Great Soundtrack|Story Rich|First-Person|Sci-fi|Partial Controller Support|FPS|Funny|Classic|Female Protagonist|Comedy|Includes level editor|Captions available|Short|Physics|Dark Humor|Commentary available|Includes Source SDK|Science
12020,Left 4 Dead 2,2009-11-17,2009,89,4.09,3381,Action|Shooter,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|steam-trading-cards|Co-op|cooperative|First-Person|Horror|FPS|Online Co-Op|Gore|Survival|Local Co-Op|Tactical|stats|Steam Workshop|Zombies|Moddable|Survival Horror|Post-apocalyptic|Captions available|Replay Value|Team-Based|Valve Anti-Cheat enabled|Commentary available|Includes Source SDK
5679,The Elder Scrolls V: Skyrim,2011-11-11,2011,94,4.42,4861,Action|RPG,Singleplayer|Steam Achievements|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|RPG|Story Rich|Open World|First-Person|Third Person|Partial Controller Support|Fantasy|Sandbox|Action RPG|Steam Workshop|role-playing|Moddable|Character Customization|Dark Fantasy|Medieval|Magic|Lore-Rich|Dragons
28,Red Dead Redemption 2,2018-10-26,2018,96,4.59,5409,Action,Singleplayer|Multiplayer|Atmospheric|Great Soundtrack|Co-op|Story Rich|Open World|First-Person|Third Person|Partial Controller Support|FPS|Online Co-Op|Gore|Exploration|Sandbox|Violent|Third-Person Shooter|PvP|In-App Purchases|Realistic|Mature|Cinematic|Historical|Crime|Online PvP|3rd-Person Perspective|Blood|America|Masterpiece|Beautiful|Hunting|Western|3rd-person
4062,BioShock Infinite,2013-03-26,2013,94,4.38,4145,Action|Shooter,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|RPG|Story Rich|First-Person|Sci-fi|FPS|Fantasy|Gore|Controller|Dystopian|Linear|Steampunk|Alternate History|Time Travel|Political
13537,Half-Life 2,2004-11-16,2004,96,4.48,4054,Action|Shooter,Singleplayer|Steam Achievements|Multiplayer|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|Story Rich|First-Person|Sci-fi|Partial Controller Support|Horror|FPS|Classic|Zombies|Moddable|Captions available|Physics|Aliens|Dystopian|Includes Source SDK|Silent Protagonist|vr mod
802,Borderlands 2,2012-09-18,2012,89,4.02,3291,Action|Shooter|RPG,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|RPG|Co-op|Open World|cooperative|Sci-fi|FPS|Online Co-Op|Funny|Comedy|Action RPG|Futuristic|Memes|Stylized|Dark Humor|Loot
3439,Life is Strange,2015-01-29,2015,83,4.12,3751,Adventure,Singleplayer|Full controller support|Atmospheric|steam-trading-cards|Great Soundtrack|Story Rich|Third Person|Female Protagonist|Dark|Point & Click|Mystery|Short|Choices Matter|Memes|Walking Simulator|Multiple Endings|Story|Episodic|Soundtrack|Time Travel|Time Manipulation|student|strange|photography
4286,BioShock,2007-08-21,2007,96,4.36,3344,Action|Shooter,Singleplayer|Atmospheric|Great Soundtrack|RPG|Story Rich|First-Person|Sci-fi|Partial Controller Support|Horror|FPS|Classic|Action RPG|Dark|Dystopian|Steampunk|Alternate History|Political|Underwater
32,Destiny 2,2017-09-06,2017,82,3.52,2658,Action|Shooter,Singleplayer|Multiplayer|Full controller support|Atmospheric|Great Soundtrack|Co-op|Open World|cooperative|First-Person|Sci-fi|FPS|Online Co-Op|Exploration|Free to Play|Online multiplayer|Action-Adventure|PvP|Space|combat|Futuristic|Aliens|Story|3rd-Person Perspective|online|MMORPG|PvE|Loot|Lore-Rich|city|console|friends|Masterpiece|weapons|skill|destroy|collect|hunt|gun|rain|enemy|quick|darkness|defender
58175,God of War (2018),2018-04-20,2018,94,4.55,5087,Action,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|RPG|Story Rich|Third Person|Fantasy|Gore|Exploration|Violent|Action-Adventure|Action RPG|Hack and Slash|exclusive|3D|Crafting|combat|true exclusive|3rd-Person Perspective|Blood|PvE|Emotional|Souls-like|Mythology|Remote Play on TV
3070,Fallout 4,2015-11-09,2015,84,3.81,3395,Action|RPG,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|Great Soundtrack|RPG|Story Rich|Open World|First-Person|Third Person|Sci-fi|FPS|Exploration|Sandbox|Survival|Action RPG|Third-Person Shooter|Post-apocalyptic
3939,PAYDAY 2,2013-08-13,2013,79,3.52,2231,Action|Shooter,Singleplayer|Steam Achievements|Multiplayer|Full controller support|steam-trading-cards|Great Soundtrack|Co-op|cooperative|First-Person|FPS|Online Co-Op|Funny|Stealth|Tactical|In-App Purchases|Team-Based|Crime|PvE|Heist|Gun Customization
1030,Limbo,2010-07-21,2010,88,4.14,3375,Action|Adventure|Indie|Puzzle|Platformer,Singleplayer|Full controller support|Atmospheric|2D|Horror|Difficult|Action-Adventure|Pixel Graphics|Controller|Dark|controller support|Short|Dark Fantasy|Physics|Cinematic|combat|Side Scroller|Linear|Surreal|Puzzle-Platformer|Minimalist|Family Sharing|2D Fighter|Noir|2D Platformer|2D-платформер|2D-файтинг
11859,Team Fortress 2,2007-10-10,2007,92,3.68,2923,Action|Shooter,Steam Achievements|Multiplayer|steam-trading-cards|Co-op|cooperative|First-Person|Partial Controller Support|FPS|Online Co-Op|Funny|Comedy|Free to Play|Tactical|stats|Steam Workshop|Cross-Platform Multiplayer|Includes level editor|Moddable|In-App Purchases|Captions available|Crafting|Team-Based|Competitive|Valve Anti-Cheat enabled|Robots|Commentary available|Cartoony|Cartoon|Class-Based|Trading
2454,DOOM (2016),2016-05-12,2016,85,4.38,3598,Action|Shooter,Singleplayer|Multiplayer|Atmospheric|Great Soundtrack|Co-op|cooperative|First-Person|Sci-fi|Partial Controller Support|Horror|FPS|Gore|Difficult|Classic|Zombies|Memes|Fast-Paced|Remake|Blood|Demons
41494,Cyberpunk 2077,2020-12-10,2020,73,4.22,2940,Action|Shooter|RPG,Singleplayer|Atmospheric|Great Soundtrack|RPG|Story Rich|Open World|First-Person|Sci-fi|FPS|Exploration|Sandbox|Violent|Action-Adventure|Action RPG|role-playing|Nudity|Mature|Cinematic|Futuristic|Sexual Content|Cyberpunk|Crime|Robots|3rd-Person Perspective|Blood|America|Masterpiece|Soundtrack|Hacking|Role Playing Game|immersive|Photorealistic
422,Terraria,2011-05-16,2011,81,4.07,2450,Action|Indie|Platformer,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|RPG|Co-op|Open World|2D|Online Co-Op|Exploration|Sandbox|Survival|Online multiplayer|Pixel Graphics|role-playing|Family Friendly|controller support|Replay Value|Crafting|Building|overlay
10213,Dota 2,2013-07-09,2013,90,3.07,2837,Action|Massively Multiplayer,Multiplayer|steam-trading-cards|RPG|Co-op|cooperative|Online Co-Op|Fantasy|Difficult|Free to Play|Action RPG|Steam Workshop|PvP|In-App Purchases|Character Customization|Replay Value|Team-Based|RTS|Competitive|Valve Anti-Cheat enabled|Tower Defense|MOBA|e-sports|SteamVR Collectibles
4459,Grand Theft Auto IV,2008-04-29,2008,95,4.26,3081,Action,Singleplayer|Multiplayer|Atmospheric|Co-op|Open World|cooperative|Third Person|Partial Controller Support|Funny|Gore|Classic|Sandbox|Third-Person Shooter|Moddable|Crime|Dark Humor|Satire|first person mod|Bowling
766,Warframe,2013-03-25,2013,73,3.42,2105,Action|Shooter|RPG|Massively Multiplayer,Singleplayer|Multiplayer|steam-trading-cards|RPG|Co-op|cooperative|Third Person|Sci-fi|Partial Controller Support|FPS|Online Co-Op|Free to Play|Third-Person Shooter|Space|role-playing|Hack and Slash|In-App Purchases|Futuristic|Parkour|Cyberpunk|PvE|Ninja|looter shooter
3272,Rocket League,2015-07-07,2015,86,3.93,2842,Sports|Racing|Indie,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|steam-trading-cards|Great Soundtrack|Co-op|cooperative|Online Co-Op|Funny|Split Screen|Local Co-Op|Local Multiplayer|stats|Steam Workshop|Cross-Platform Multiplayer|Team-Based|Fast-Paced|Competitive|4 Player Local|4 giocatori divano|Football|Soccer|lan party
278,Horizon Zero Dawn,2017-02-28,2017,89,4.28,3758,Action|RPG,Singleplayer|Atmospheric|Great Soundtrack|RPG|Story Rich|Open World|Third Person|Sci-fi|Exploration|Female Protagonist|Stealth|Action RPG|role-playing|exclusive|Post-apocalyptic|Cinematic|Futuristic|Robots|3rd-Person Perspective|Drama|Lore-Rich|3rd-person|Experience|open-world|atmosphere
29028,Metro 2033,2010-03-16,2010,79,3.94,2263,Action|Shooter,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|Great Soundtrack|Story Rich|First-Person|Sci-fi|Horror|FPS|Survival|Stealth|Dark|Survival Horror|Post-apocalyptic|Linear|3D Vision|Based On A Novel|Benchmark
7689,Rise of the Tomb Raider,2015-11-10,2015,86,4.04,2781,Action,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|RPG|Story Rich|Open World|Third Person|Exploration|Steam Leaderboards|Female Protagonist|Survival|Stealth|Action-Adventure|Third-Person Shooter|Parkour|Quick-Time Events|Lara Croft
3287,Batman: Arkham Knight,2015-06-23,2015,81,4.24,2664,Action,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Story Rich|Open World|Third Person|Horror|Steam Leaderboards|Sandbox|Stealth|Dark|Mature|Beat 'em up|Detective|Comic Book|Superhero|Batman
3192,Metal Gear Solid V: The Phantom Pain,2015-09-01,2015,91,4.16,2517,Action|Shooter,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|Story Rich|Open World|Third Person|Sci-fi|Steam Leaderboards|Sandbox|Stealth|Tactical|Third-Person Shooter|Dark|Captions available|Replay Value|Cinematic|Heist|Horses
16944,The Witcher 2: Assassins of Kings Enhanced Edition,2012-04-16,2012,88,4.16,2171,RPG,Singleplayer|Steam Achievements|Steam Cloud|Atmospheric|steam-trading-cards|RPG|Story Rich|Open World|Third Person|Partial Controller Support|Fantasy|Difficult|Steam Leaderboards|Dark|Nudity|Choices Matter|Dark Fantasy|Mature|Medieval|Magic|Multiple Endings|Based On A Novel|Nonlinear
416,Grand Theft Auto: San Andreas,2004-10-26,2004,93,4.5,4008,Action,Singleplayer|Multiplayer|Atmospheric|Great Soundtrack|Story Rich|Open World|Third Person|Partial Controller Support|Funny|Classic|Sandbox|Comedy|Moddable|Mature|Crime|Driving|first person mod|Remote Play on Tablet|Remote Play on Phone|controversial|karaihb
290856,Apex Legends,2019-02-04,2019,80,3.63,2402,Action|Shooter,Multiplayer|Full controller support|Atmospheric|Co-op|First-Person|Sci-fi|FPS|Online Co-Op|Exploration|Survival|Free to Play|Action-Adventure|Tactical|Dark|PvP|Character Customization|Cinematic|combat|Team-Based|Cyberpunk|Battle Royale|Hero Shooter|lootboxes
17822,The Witcher: Enhanced Edition Director's Cut,2008-09-16,2008,86,4.06,2045,Action|RPG,Singleplayer|Steam Cloud|Atmospheric|Great Soundtrack|RPG|Story Rich|Open World|Third Person|Fantasy|Classic|Action RPG|Nudity|Choices Matter|Dark Fantasy|Mature|Medieval|Magic|Multiple Endings|Based On A Novel
9767,Hollow Knight,2017-02-23,2017,88,4.4,2692,Action|Indie|Platformer,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|Story Rich|Open World|2D|Exploration|Difficult|Controller|Cute|controller support|Dark Fantasy|Side Scroller|Multiple Endings|Metroidvania|Hand-drawn|Gothic
11973,Middle-earth: Shadow of Mordor,2014-09-30,2014,85,3.91,2539,Action|RPG,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|RPG|Story Rich|Open World|Third Person|Fantasy|Gore|Sandbox|Stealth|Action RPG|Hack and Slash|Dark Fantasy|Magic|Parkour|Assassin|Lore-Rich|Based On A Novel|steam|category|microtranzations
23027,The Walking Dead: Season 1,2012-04-23,2012,92,4.36,2472,Action|Adventure,Singleplayer|Full controller support|Atmospheric|Story Rich|Third Person|Horror|Gore|Survival|Zombies|Point & Click|Post-apocalyptic|Choices Matter|Mature|Visual Novel|Drama|Episodic|Comic Book|Choose Your Own Adventure|Quick-Time Events
41,Little Nightmares,2017-04-27,2017,81,4.03,1621,Action|Adventure|Platformer,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|Story Rich|Third Person|Horror|Female Protagonist|Stealth|Dark|Survival Horror|controller support|Short|achievements|Puzzle-Platformer|2.5D
4427,BioShock 2,2010-02-09,2010,88,4.07,1949,Action|Shooter,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Atmospheric|Great Soundtrack|RPG|Story Rich|First-Person|Sci-fi|Horror|FPS|Action RPG|Dark|Dystopian|Linear|Steampunk|Underwater|Philisophical
18080,Half-Life,1998-11-19,1998,96,4.37,2416,Action|Shooter,Singleplayer|Multiplayer|Atmospheric|Great Soundtrack|Story Rich|First-Person|Sci-fi|FPS|Funny|Difficult|Classic|Retro|Moddable|Aliens|Valve Anti-Cheat enabled|Linear|1990's|Silent Protagonist|vr mod
19710,Half-Life 2: Episode One,2006-06-01,2006,87,4.38,2046,Action|Shooter,Singleplayer|Steam Achievements|Steam Cloud|Atmospheric|Great Soundtrack|Story Rich|First-Person|Sci-fi|Partial Controller Support|FPS|Classic|stats|Zombies|Moddable|Captions available|Short|Cinematic|Aliens|Dystopian|Commentary available|Episodic|Includes Source SDK|Silent Protagonist
19709,Half-Life 2: Episode Two,2007-10-10,2007,90,4.46,2000,Action|Shooter|Puzzle,Singleplayer|Steam Achievements|Multiplayer|Steam Cloud|Atmospheric|Great Soundtrack|Story Rich|First-Person|Sci-fi|Partial Controller Support|Horror|FPS|Classic|stats|Zombies|Post-apocalyptic|Captions available|Aliens|Dystopian|Commentary available|Episodic|Includes Source SDK|Silent Protagonist
2551,Dark Souls III,2016-04-11,2016,89,4.4,2756,Action|RPG,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Atmospheric|steam-trading-cards|Great Soundtrack|RPG|Co-op|Story Rich|Open World|cooperative|Third Person|Horror|Exploration|Difficult|Action RPG|PvP|Character Customization|Replay Value|Dark Fantasy|Lore-Rich
654,Stardew Valley,2016-02-25,2016,89,4.39,2432,RPG|Simulation|Indie,Singleplayer|Steam Achievements|Multiplayer|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|RPG|Co-op|Open World|2D|Partial Controller Support|Sandbox|Pixel Graphics|Retro|role-playing|Cute|Crafting|Building|overlay|Relaxing|Dating Sim|Shared/Split Screen Co-op|cloud saves|Fishing|Agriculture|co-op multiplayer
4252,Mirror's Edge,2008-11-11,2008,81,4.07,2366,Action,Singleplayer|Full controller support|Atmospheric|Great Soundtrack|First-Person|Sci-fi|Partial Controller Support|Classic|Female Protagonist|Short|Colorful|Futuristic|Parkour|Dystopian|Stylized|Time Attack|european
3612,Hotline Miami,2012-10-22,2012,85,4.38,2627,Action|Shooter|Arcade|Indie,Singleplayer|Steam Achievements|Atmospheric|steam-trading-cards|Great Soundtrack|2D|Partial Controller Support|Gore|Difficult|Violent|Pixel Graphics|Retro|controller support|Fast-Paced|Top-Down|overlay|Surreal|Music|Top-Down Shooter|1980s|Psychedelic
10035,Hitman,2016-03-11,2016,83,3.93,2019,Action|Shooter|Simulation,Singleplayer|Full controller support|Atmospheric|Great Soundtrack|Story Rich|Open World|Third Person|Sandbox|Stealth|Tactical|Third-Person Shooter|Nudity|Crime|Assassin|Episodic|Illuminati|Heist
