feature,type,group,count_with,mean_with,lift,cohens_d,corr_with_rating
TAG: Anime,binary,TAG,11,8.272727272727273,1.0500198491464872,0.8470603266684105,
TAG: Detective,binary,TAG,8,8.0,0.7772925764192138,0.6124166510706802,
TAG: Cinematic,binary,TAG,16,8.0,0.7772925764192138,0.6398206790442782,
TAG: 3rd Person Perspective,binary,TAG,14,8.0,0.7772925764192138,0.6327394028933501,
TAG: Heist,binary,TAG,7,8.0,0.7772925764192138,0.6091572589480878,
TAG: JRPG,binary,TAG,14,7.928571428571429,0.7058640049906426,0.5734301369534035,
TAG: Dark,binary,TAG,22,7.909090909090909,0.686383485510123,0.5821735056034111,
TAG: Magic,binary,TAG,9,7.888888888888889,0.6661814653081031,0.526689362750049,
TAG: Multiple Endings,binary,TAG,15,7.866666666666666,0.64395924308588,0.5250644304200427,
TAG: controller support,binary,TAG,14,7.785714285714286,0.5630068621334994,0.4557998508785937,
TAG: Drama,binary,TAG,9,7.777777777777778,0.5550703541969915,0.4381367046062682,
TAG: Blood,binary,TAG,9,7.777777777777778,0.5550703541969915,0.4381367046062682,
TAG: Action RPG,binary,TAG,34,7.764705882352941,0.5419984587721549,0.4881658756570406,
TAG: Medieval,binary,TAG,15,7.733333333333333,0.5106259097525472,0.4150391011622619,
TAG: Replay Value,binary,TAG,21,7.714285714285714,0.4915782907049282,0.4118170308633612,
TAG: Dark Fantasy,binary,TAG,18,7.666666666666667,0.44395924308588075,0.36582712677229334,
TAG: Fantasy,binary,TAG,32,7.65625,0.4335425764192138,0.38416686289324203,
TAG: Side Scroller,binary,TAG,13,7.615384615384615,0.39267719180382876,0.3153899880838911,
GENRE: RPG,binary,GENRE,66,7.606060606060606,0.3833531824798202,0.4140813274917938,
TAG: Roguelike,binary,TAG,10,7.6,0.37729257641921343,0.29864197491219724,
TAG: role playing,binary,TAG,22,7.590909090909091,0.3682016673283046,0.3090488370307593,
TAG: Action Adventure,binary,TAG,34,7.588235294117647,0.36552787053686053,0.3265285937667647,
TAG: 3D,binary,TAG,12,7.583333333333333,0.3606259097525468,0.2881381396120168,
TAG: Story Rich,binary,TAG,103,7.58252427184466,0.3598168482638737,0.5098810802074945,
TAG: Violent,binary,TAG,38,7.578947368421052,0.356239944840266,0.3250814455919052,
TAG: Beat 'em up,binary,TAG,14,7.571428571428571,0.34872114784778496,0.2812772886571442,
TAG: Character Customization,binary,TAG,20,7.55,0.3272925764192136,0.27175522008777014,
TAG: combat,binary,TAG,11,7.545454545454546,0.32274712187375965,0.25654674143526185,
TAG: Crafting,binary,TAG,11,7.545454545454546,0.32274712187375965,0.2565467414352618,
TAG: Post apocalyptic,binary,TAG,13,7.538461538461538,0.3157541148807521,0.25336655325208157,
TAG: overlay,binary,TAG,13,7.538461538461538,0.3157541148807521,0.25336655325208157,
TAG: RPG,binary,TAG,86,7.511627906976744,0.288920483395958,0.3547440308486602,
TAG: Remake,binary,TAG,8,7.5,0.2772925764192138,0.21726844287396405,
TAG: Great Soundtrack,binary,TAG,102,7.480392156862745,0.25768473328195896,0.3565833187636492,
TAG: Third Person,binary,TAG,88,7.4772727272727275,0.2545653036919413,0.31608219816390426,
TAG: Choices Matter,binary,TAG,13,7.461538461538462,0.23883103795767546,0.19150013161109472,
TAG: Captions available,binary,TAG,13,7.461538461538462,0.23883103795767546,0.19150013161109475,
TAG: America,binary,TAG,9,7.444444444444445,0.22173702086365843,0.17448959505014563,
TAG: true exclusive,binary,TAG,7,7.428571428571429,0.2058640049906426,0.16050809744858183,
TAG: Crime,binary,TAG,28,7.428571428571429,0.2058640049906426,0.17751139050868364,
TAG: Space,binary,TAG,7,7.428571428571429,0.2058640049906426,0.16050809744858183,
TAG: Atmospheric,binary,TAG,130,7.4,0.17729257641921414,0.3136040425122165,
TAG: Exploration,binary,TAG,43,7.395348837209302,0.17264141362851593,0.16091545470116747,
TAG: Open World,binary,TAG,97,7.391752577319588,0.1690451537388018,0.22293238789632358,
TAG: Comedy,binary,TAG,41,7.365853658536586,0.14314623495579948,0.13191189664281233,
TAG: Memes,binary,TAG,11,7.363636363636363,0.1409289400555771,0.11188487505952895,
TAG: exclusive,binary,TAG,14,7.357142857142857,0.13443543356207055,0.1082243135147353,
TAG: Funny,binary,TAG,48,7.354166666666667,0.13145924308588075,0.12583132081690818,
TAG: Retro,binary,TAG,17,7.352941176470588,0.13023375288980166,0.10633106707917064,
TAG: Local Co Op,binary,TAG,17,7.352941176470588,0.13023375288980166,0.10633106707917064,
TAG: Female Protagonist,binary,TAG,20,7.35,0.12729257641921343,0.10542730640041263,
TAG: Stealth,binary,TAG,47,7.340425531914893,0.11771810833410701,0.1120268683487834,
TAG: Fast Paced,binary,TAG,9,7.333333333333333,0.11062590975254682,0.08701600104501286,
TAG: Steam Workshop,binary,TAG,13,7.3076923076923075,0.08498488411152127,0.06808393214335516,
TAG: Partial Controller Support,binary,TAG,43,7.3023255813953485,0.07961815781456227,0.07409430882336118,
TAG: Sandbox,binary,TAG,58,7.293103448275862,0.07039602469507589,0.07126309041299893,
TAG: first person mod,binary,TAG,7,7.285714285714286,0.06300686213349938,0.0491080693426098,
TAG: 2D,binary,TAG,42,7.285714285714286,0.06300686213349938,0.0583122909613771,
GENRE: Action,binary,GENRE,170,7.2823529411764705,0.05964551759568426,0.17543402036034292,
TAG: Classic,binary,TAG,32,7.28125,0.05854257641921379,0.05142538647435249,
TAG: Hack and Slash,binary,TAG,19,7.2631578947368425,0.04045047115605627,0.03332921867702685,
GENRE: Platformer,binary,GENRE,16,7.25,0.027292576419213788,0.022170437229478205,
TAG: Dark Humor,binary,TAG,8,7.25,0.027292576419213788,0.021367709093741784,
TAG: Sci fi,binary,TAG,34,7.235294117647059,0.012586694066272663,0.011168191404465547,
TAG: Building,binary,TAG,9,7.222222222222222,-0.00048520135856389146,-0.0003815941056793818,
TAG: Steam Leaderboards,binary,TAG,27,7.222222222222222,-0.00048520135856389146,-0.00041559754345195393,
TAG: Steam Cloud,binary,TAG,78,7.217948717948718,-0.00475870563206815,-0.005452751241954043,
TAG: Singleplayer,binary,TAG,198,7.217171717171717,-0.0055357064090690855,-0.030898554446333194,
TAG: steam trading cards,binary,TAG,61,7.213114754098361,-0.009592669482425542,-0.009879539608648112,
TAG: Full controller support,binary,TAG,105,7.20952380952381,-0.013183614056976545,-0.018396429077171254,
TAG: Steam Achievements,binary,TAG,118,7.203389830508475,-0.01931759307231129,-0.03011493836194082,
TAG: Pixel Graphics,binary,TAG,20,7.2,-0.022707423580786035,-0.018798797722755407,
TAG: Horror,binary,TAG,45,7.2,-0.022707423580786035,-0.021353454199985668,
TAG: Third Person Shooter,binary,TAG,31,7.193548387096774,-0.02915903648401219,-0.025481615366953952,
TAG: Local Multiplayer,binary,TAG,11,7.181818181818182,-0.040889241762604556,-0.03245379159452454,
TAG: Difficult,binary,TAG,39,7.17948717948718,-0.043220244093606475,-0.039362610984355784,
TAG: Moddable,binary,TAG,23,7.173913043478261,-0.04879438010252546,-0.040986247578158816,
GENRE: Adventure,binary,GENRE,74,7.162162162162162,-0.06054526141862393,-0.067619157561799,
TAG: Metroidvania,binary,TAG,7,7.142857142857143,-0.07985028072364297,-0.062237328875851254,
TAG: Aliens,binary,TAG,7,7.142857142857143,-0.07985028072364297,-0.062237328875851254,
TAG: Co op,binary,TAG,55,7.127272727272727,-0.09543469630805923,-0.09497727236275638,
