id,name_r,status,my_rating_10,name_g,released,released_year,metacritic,rating,ratings_count,genres,tags
50778,A Way Out,Completed,8,A Way Out,2018-03-23,2018.0,78.0,4.12,1604.0,Action|Adventure,Steam Achievements|Multiplayer|Full controller support|Atmospheric|Co-op|Story Rich|cooperative|Third Person|Online Co-Op|Violent|Stealth|Split Screen|Local Co-Op|Action-Adventure|Nudity|Cinematic|Sexual Content|Crime|Steam Trading Cards|Emotional|Remote Play Together|Shared/Split Screen Co-op|Remote Play on TV|Remote Play on Tablet|Conversation|Remote Play on Phone|prison|ea play
4729,Assassin's Creed,Completed,6,Assassin's Creed,2007-11-13,2007.0,80.0,3.92,2007.0,Action,Stealth|Space|Assassin|character|city|Investigation|future|Single player only|office|treasure
28568,Assassin's Creed II,Completed,6,Assassin's Creed II,2009-11-17,2009.0,89.0,4.42,2934.0,Action,Assassin|hero|Swords
58616,Assassin's Creed Odyssey,Played,7,Assassin's Creed Odyssey,2018-10-05,2018.0,85.0,3.98,2092.0,Action|RPG,Singleplayer|Atmospheric|steam-trading-cards|RPG|Story Rich|Open World|Third Person|Partial Controller Support|Female Protagonist|Stealth|In-App Purchases|Captions available|Historical|Parkour|Assassin
4358,Assassin's Creed Revelations,Completed,5,Assassin's Creed Revelations,2011-11-15,2011.0,80.0,3.99,1453.0,Action,Singleplayer|Multiplayer|Atmospheric|Great Soundtrack|RPG|Story Rich|Open World|Third Person|Sci-fi|Sandbox|Stealth|Action-Adventure|Controller|Historical|Medieval|Parkour|Assassin|Conspiracy
10064,Assassin’s Creed Brotherhood,Completed,7,Assassin’s Creed Brotherhood,2010-11-16,2010.0,88.0,4.28,1711.0,Action,Singleplayer|Multiplayer|Atmospheric|Great Soundtrack|Story Rich|Open World|Third Person|Partial Controller Support|Sandbox|Stealth|Action-Adventure|Controller|Historical|Medieval|Parkour|Assassin|Conspiracy|Rome
13305,Assassin’s Creed III,Completed,7,Assassin’s Creed III,2012-10-30,2012.0,80.0,3.75,2167.0,Action,Singleplayer|Multiplayer|Atmospheric|Story Rich|Open World|Third Person|Partial Controller Support|Sandbox|Stealth|Action-Adventure|Controller|Historical|Parkour|Assassin|America|Alternate History|Conspiracy|Hunting
3841,Assassin’s Creed IV: Black Flag,Completed,8,Assassin’s Creed IV: Black Flag,2013-10-29,2013.0,85.0,4.15,2630.0,Action,Singleplayer|Multiplayer|Atmospheric|RPG|Story Rich|Open World|Third Person|Exploration|Sandbox|Stealth|Action-Adventure|Action RPG|Mature|Historical|Parkour|Assassin|Pirates|Naval
50839,Baba Is You,Played,8,Baba Is You,2019-03-13,2019.0,86.0,4.39,534.0,Indie|Puzzle,Singleplayer|Full controller support|Steam Cloud|2D|Horror|Includes level editor|puzzles
4123,Batman: Arkham Asylum,Completed,8,Batman: Arkham Asylum,2009-08-25,2009.0,91.0,4.4,2310.0,Action,Exploration|Stealth|puzzles|hero|island
