feature,coef
TAG: Story,1.5140343260603384
TAG: controller support,1.040696066758752
TAG: Dating Sim,0.9804625396505252
TAG: Online PvP,0.7982971769069935
TAG: Realistic,0.7733626299182198
TAG: RTS,0.7544032460910588
TAG: Local Co Op,0.7528730242283174
TAG: Horses,0.7173132400283353
TAG: Turn Based Combat,0.7126964578478028
TAG: role playing,0.7073598398519163
TAG: cloud saves,0.661281494755147
TAG: Co op,0.6154276417101785
TAG: Anime,0.6132464991868711
TAG: Remake,0.6048633238460841
TAG: 2D,0.5989148491254268
TAG: first person mod,0.5966150201405583
TAG: Steam Workshop,0.5912662805470983
TAG: 3D,0.588883403877555
TAG: Fantasy,0.5829149158796132
TAG: Roguelike,0.578820168507225
TAG: Western,0.5771732136300182
TAG: America,0.5443297024127517
TAG: Story Rich,0.5416893853929649
TAG: Post apocalyptic,0.5400720331120351
TAG: Replay Value,0.5222440392131672
TAG: Atmospheric,0.4931380250902543
TAG: Stealth,0.49161206305880906
TAG: Surreal,0.4748972670868677
TAG: Souls like,0.47053770931927713
TAG: Sexual Content,0.44613368074190224
TAG: Heist,0.41646328932871185
GENRE: Puzzle,0.3961370105937611
TAG: Mature,0.37558408114925484
TAG: Military,0.3685063280162075
TAG: Funny,0.35930515245059386
TAG: Music,0.32797190255884484
TAG: Cartoony,0.3253593083573523
TAG: Third Person,0.317280496409306
TAG: exclusive,0.3171974935481252
TAG: Detective,0.3061238325017724
TAG: Great Soundtrack,0.2889105283477305
TAG: Side Scroller,0.2541567508861376
GENRE: Massively Multiplayer,0.24516944550871567
TAG: Action Adventure,0.2405490840697318
TAG: FPS,0.22517550901479988
GENRE: RPG,0.22513302229960944
TAG: Nudity,0.21805993407916568
TAG: 3rd Person Perspective,0.21032266150462808
TAG: Physics,0.20010330656402978
TAG: Horror,0.18547522933056357
GENRE: Indie,0.1772163862963592
TAG: Party Based RPG,0.16165183769287375
TAG: Fast Paced,0.16067706804973814
TAG: Isometric,0.1546131742117807
TAG: Moddable,0.1403379361569598
TAG: Dystopian,0.13401347205083927
TAG: Crafting,0.13082314990559948
TAG: War,0.13064779261001075
TAG: Space,0.12982924735848447
TAG: Cinematic,0.12972905844497454
TAG: Metroidvania,0.12794973415945732
TAG: Dark Fantasy,0.12033200964514602
GENRE: Arcade,0.11640363322198105
TAG: Colorful,0.10687292867287883
TAG: Exploration,0.06877479848964137
TAG: Dark,0.06687124516613623
TAG: Crime,0.06547783813000332
TAG: 3D Platformer,0.06466088962031227
TAG: Multiple Endings,0.05610866325233429
TAG: Partial Controller Support,0.05460323158123886
TAG: Loot,0.04276842258050034
TAG: Lore Rich,0.042190474848190024
GENRE: Adventure,0.040230699773615756
TAG: Beat 'em up,0.03613614216463585
TAG: Steam Leaderboards,0.035070907637125254
TAG: steam trading cards,0.033866095757156295
TAG: Captions available,0.03134471020504449
TAG: Team Based,0.024318888537762845
TAG: Dark Humor,0.0182037554961681
TAG: Steam Cloud,0.013658287730636206
TAG: Futuristic,0.013655014176486343
TAG: true exclusive,0.012582222551546013
TAG: Alternate History,0.012125652067373711
TAG: Survival,-0.007389933563982742
TAG: Stylized,-0.008852449861973482
TAG: Character Customization,-0.01972484783279227
TAG: Multiplayer,-0.020267541121077298
TAG: combat,-0.022625186002575036
TAG: Superhero,-0.023126397598292343
TAG: Action RPG,-0.02321127199860106
TAG: Management,-0.030146743775255096
NUM: release_year,-0.030938544464860336
TAG: First Person,-0.03357547165897465
TAG: Sandbox,-0.041417012178639905
TAG: RPG,-0.04598799673680111
TAG: Steam Achievements,-0.04916223099359113
GENRE: Action,-0.051323467553118944
TAG: Local Multiplayer,-0.05850850070328505
TAG: JRPG,-0.06369738218518411
TAG: Comedy,-0.08247015590028041
GENRE: Casual,-0.11837060067897574
TAG: Building,-0.12313623627174333
TAG: Female Protagonist,-0.12421074925516956
TAG: Family Friendly,-0.12721342345503694
GENRE: Shooter,-0.13877155542115202
TAG: Medieval,-0.1451357362472513
TAG: In App Purchases,-0.1648248616008563
TAG: overlay,-0.18486944753572074
TAG: Zombies,-0.1900052180035417
TAG: Online multiplayer,-0.19079639456443692
TAG: Full controller support,-0.198659740106119
TAG: Violent,-0.19921937049564295
TAG: Sci fi,-0.2199605197905725
GENRE: Platformer,-0.22132215334768585
TAG: Aliens,-0.2324678322581184
TAG: Third Person Shooter,-0.23261249164091807
GENRE: Family,-0.23276707346949344
TAG: Open World,-0.23649132435475778
TAG: Steam Trading Cards,-0.24918075379265225
TAG: Assassin,-0.2617179088845857
TAG: Gore,-0.26575177022335483
TAG: Difficult,-0.2795787170971774
TAG: Parkour,-0.29060242310772283
TAG: Valve Anti Cheat enabled,-0.2983612199797406
TAG: 3D Vision,-0.30208756923279667
TAG: Tactical,-0.311601456573541
GENRE: Strategy,-0.3304772700120917
TAG: Blood,-0.33886331804682546
TAG: Pixel Graphics,-0.3438198581207283
TAG: achievements,-0.34424476927685727
TAG: Magic,-0.3544900326145181
TAG: Choices Matter,-0.35803419085858285
TAG: Includes level editor,-0.36036856171172754
TAG: Early Access,-0.37366947975315645
TAG: Short,-0.37614610869268567
TAG: cooperative,-0.37793877669192316
TAG: Classic,-0.38636224844511863
TAG: Hack and Slash,-0.39214390766723356
TAG: Retro,-0.3928342816542658
TAG: Memes,-0.39543588920406264
TAG: Drama,-0.39572745396655395
TAG: Survival Horror,-0.3965789337595307
TAG: Online Co Op,-0.401395510069438
TAG: Controller,-0.4094844697228889
TAG: Linear,-0.41787463594207463
TAG: Singleplayer,-0.41789633194945036
TAG: stats,-0.4324062753966806
GENRE: Fighting,-0.4726543188695095
TAG: Cyberpunk,-0.4743287141514704
TAG: Base Building,-0.4760049539449468
TAG: Hunting,-0.4890110321472609
TAG: Destruction,-0.5239563864246195
TAG: Dungeon Crawler,-0.5279744759672431
GENRE: Simulation,-0.5369759602719806
TAG: Robots,-0.5586710300456309
TAG: Roguelite,-0.5839694061646415
TAG: Split Screen,-0.6198990797133185
TAG: Top Down,-0.6414040676495569
TAG: Comic Book,-0.6543263055081935
TAG: Historical,-0.6980985829568159
TAG: character,-0.7072868357691485
TAG: PvP,-0.7413334040495515
TAG: Dragons,-0.7795615171837357
TAG: Based On A Novel,-0.8204061448597247
